Date,Team_A,Team_B,Score_A,Score_B,Tournament,Location_A,Is_Playoff,Is_GoD
2023-11-21,Gibraltar,Netherlands,0,6,QUAL_EURO,Neutral,0,0
2023-11-21,Greece,France,2,2,QUAL_EURO,Home,0,0
2023-11-21,Wales,Turkey,1,1,QUAL_EURO,Home,0,0
2023-11-21,Croatia,Armenia,1,0,QUAL_EURO,Home,0,0
2023-11-21,Andorra,Israel,0,2,QUAL_EURO,Home,0,0
2023-11-21,Kosovo,Belarus,0,1,QUAL_EURO,Home,0,0
2023-11-21,Romania,Switzerland,1,0,QUAL_EURO,Home,0,0
2024-03-21,Gibraltar,Lithuania,0,1,NL_B,Neutral,0,0
2024-03-21,Poland,Estonia,5,1,QUAL_EURO,Home,0,0
2024-03-21,Wales,Finland,4,1,QUAL_EURO,Home,0,0
2024-03-21,Israel,Iceland,1,4,QUAL_EURO,Neutral,0,0
2024-03-21,Bosnia and Herzegovina,Ukraine,1,2,QUAL_EURO,Home,0,0
2024-03-21,Georgia,Luxembourg,2,0,QUAL_EURO,Home,0,0
2024-03-21,Greece,Kazakhstan,5,0,QUAL_EURO,Home,0,0
2024-03-26,Lithuania,Gibraltar,1,0,NL_B,Home,0,0
2024-03-26,Wales,Poland,0,0,QUAL_EURO,Home,0,0
2024-03-26,Ukraine,Iceland,2,1,QUAL_EURO,Neutral,0,0
2024-03-26,Georgia,Greece,0,0,QUAL_EURO,Home,0,0
2024-06-14,Germany,Scotland,5,1,EURO_FIN,Home,0,0
2024-06-15,Hungary,Switzerland,1,3,EURO_FIN,Neutral,0,0
2024-06-15,Spain,Croatia,3,0,EURO_FIN,Neutral,0,0
2024-06-15,Italy,Albania,2,1,EURO_FIN,Neutral,0,0
2024-06-16,Slovenia,Denmark,1,1,EURO_FIN,Neutral,0,0
2024-06-16,Serbia,England,0,1,EURO_FIN,Neutral,0,0
2024-06-16,Poland,Netherlands,1,2,EURO_FIN,Neutral,0,0
2024-06-17,Austria,France,0,1,EURO_FIN,Neutral,0,0
2024-06-17,Romania,Ukraine,3,0,EURO_FIN,Neutral,0,0
2024-06-17,Belgium,Slovakia,0,1,EURO_FIN,Neutral,0,0
2024-06-18,Turkey,Georgia,3,1,EURO_FIN,Neutral,0,0
2024-06-18,Portugal,Czech Republic,2,1,EURO_FIN,Neutral,0,0
2024-06-19,Germany,Hungary,2,0,EURO_FIN,Home,0,0
2024-06-19,Scotland,Switzerland,1,1,EURO_FIN,Neutral,0,0
2024-06-19,Croatia,Albania,2,2,EURO_FIN,Neutral,0,0
2024-06-20,Spain,Italy,1,0,EURO_FIN,Neutral,0,0
2024-06-20,Slovenia,Serbia,1,1,EURO_FIN,Neutral,0,0
2024-06-20,Denmark,England,1,1,EURO_FIN,Neutral,0,0
2024-06-21,Poland,Austria,1,3,EURO_FIN,Neutral,0,0
2024-06-21,Netherlands,France,0,0,EURO_FIN,Neutral,0,0
2024-06-21,Slovakia,Ukraine,1,2,EURO_FIN,Neutral,0,0
2024-06-22,Belgium,Romania,2,0,EURO_FIN,Neutral,0,0
2024-06-22,Georgia,Czech Republic,1,1,EURO_FIN,Neutral,0,0
2024-06-22,Turkey,Portugal,0,3,EURO_FIN,Neutral,0,0
2024-06-23,Germany,Switzerland,1,1,EURO_FIN,Home,0,0
2024-06-23,Scotland,Hungary,0,1,EURO_FIN,Neutral,0,0
2024-06-24,Albania,Spain,0,1,EURO_FIN,Neutral,0,0
2024-06-24,Croatia,Italy,1,1,EURO_FIN,Neutral,0,0
2024-06-25,England,Slovenia,0,0,EURO_FIN,Neutral,0,0
2024-06-25,Denmark,Serbia,0,0,EURO_FIN,Neutral,0,0
2024-06-25,Netherlands,Austria,2,3,EURO_FIN,Neutral,0,0
2024-06-25,France,Poland,1,1,EURO_FIN,Neutral,0,0
2024-06-26,Slovakia,Romania,1,1,EURO_FIN,Neutral,0,0
2024-06-26,Ukraine,Belgium,0,0,EURO_FIN,Neutral,0,0
2024-06-26,Georgia,Portugal,2,0,EURO_FIN,Neutral,0,0
2024-06-26,Czech Republic,Turkey,1,2,EURO_FIN,Neutral,0,0
2024-06-29,Switzerland,Italy,2,0,EURO_FIN,Neutral,0,0
2024-06-29,Germany,Denmark,2,0,EURO_FIN,Home,0,0
2024-06-30,England,Slovakia,2,1,EURO_FIN,Neutral,0,0
2024-06-30,Spain,Georgia,4,1,EURO_FIN,Neutral,0,0
2024-07-01,France,Belgium,1,0,EURO_FIN,Neutral,0,0
2024-07-01,Portugal,Slovenia,0,0,EURO_FIN,Neutral,0,0
2024-07-02,Romania,Netherlands,0,3,EURO_FIN,Neutral,0,0
2024-07-02,Austria,Turkey,1,2,EURO_FIN,Neutral,0,0
2024-07-05,Germany,Spain,1,2,EURO_FIN,Home,0,0
2024-07-05,Portugal,France,0,0,EURO_FIN,Neutral,0,0
2024-07-06,England,Switzerland,1,1,EURO_FIN,Neutral,0,0
2024-07-06,Netherlands,Turkey,2,1,EURO_FIN,Neutral,0,0
2024-07-09,Spain,France,2,1,EURO_FIN,Neutral,0,0
2024-07-10,Netherlands,England,1,2,EURO_FIN,Neutral,0,0
2024-07-14,Spain,England,2,1,EURO_FIN,Neutral,0,0
2024-09-05,Portugal,Croatia,2,1,NL_B,Home,0,0
2024-09-05,Scotland,Poland,2,3,NL_B,Home,0,0
2024-09-05,Denmark,Switzerland,2,0,NL_B,Home,0,0
2024-09-05,Serbia,Spain,0,0,NL_B,Home,0,0
2024-09-05,Azerbaijan,Sweden,1,3,NL_B,Home,0,0
2024-09-05,Estonia,Slovakia,0,1,NL_B,Home,0,0
2024-09-05,Northern Ireland,Luxembourg,2,0,NL_B,Home,0,0
2024-09-05,Belarus,Bulgaria,0,0,NL_B,Neutral,0,0
2024-09-05,San Marino,Liechtenstein,1,0,NL_B,Home,0,0
2024-09-06,Belgium,Israel,3,1,NL_B,Neutral,0,0
2024-09-06,France,Italy,1,3,NL_B,Home,0,0
2024-09-06,Kazakhstan,Norway,0,0,NL_B,Home,0,0
2024-09-06,Slovenia,Austria,1,1,NL_B,Home,0,0
2024-09-06,Iceland,Montenegro,2,0,NL_B,Home,0,0
2024-09-06,Wales,Turkey,0,0,NL_B,Home,0,0
2024-09-06,Kosovo,Romania,0,3,NL_B,Home,0,0
2024-09-06,Lithuania,Cyprus,0,1,NL_B,Home,0,0
2024-09-07,Germany,Hungary,5,0,NL_B,Home,0,0
2024-09-07,Netherlands,Bosnia and Herzegovina,5,2,NL_B,Home,0,0
2024-09-07,Georgia,Czech Republic,4,1,NL_B,Home,0,0
